"person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","age_flag","person_emp_flag","income_group","loan_status_text"
24,10980.00,OWN,6,PERSONAL,A,1500.00,7.29,"0",0.14,N,3,Valid,Valid,Low,Non-Default
22,80000.00,RENT,3,PERSONAL,D,33950.00,14.54,"1",0.42,Y,4,Valid,Valid,High,Default
24,67746.00,RENT,8,HOMEIMPROVEMENT,C,33000.00,12.68,"1",0.49,N,3,Valid,Valid,High,Default
21,11000.00,MORTGAGE,3,VENTURE,E,4575.00,17.74,"1",0.42,Y,3,Valid,Valid,Low,Default
23,11000.00,OWN,6,PERSONAL,A,1400.00,9.32,"0",0.13,N,3,Valid,Valid,Low,Non-Default
24,65000.00,RENT,6,HOMEIMPROVEMENT,B,32500.00,9.99,"1",0.50,N,3,Valid,Valid,High,Default
21,11389.00,OTHER,5,EDUCATION,C,4000.00,12.84,"1",0.35,Y,2,Valid,Valid,Medium,Default
21,11520.00,OWN,5,MEDICAL,B,2000.00,11.12,"1",0.17,N,3,Valid,Valid,Medium,Default
25,120000.00,RENT,2,VENTURE,A,32000.00,6.62,"0",0.27,N,2,Valid,Valid,High,Non-Default
26,95000.00,RENT,7,HOMEIMPROVEMENT,C,31050.00,14.17,"1",0.33,Y,3,Valid,Valid,High,Default
25,306000.00,RENT,2,DEBTCONSOLIDATION,C,24250.00,13.85,"0",0.08,N,3,Valid,Valid,High,Non-Default
26,300000.00,MORTGAGE,10,MEDICAL,C,7800.00,13.49,"0",0.03,N,4,Valid,Valid,High,Non-Default
21,12000.00,OWN,5,EDUCATION,A,2500.00,7.51,"1",0.21,N,4,Valid,Valid,Medium,Default
22,48000.00,RENT,1,EDUCATION,E,30000.00,18.39,"1",0.63,N,2,Valid,Valid,High,Default
24,64000.00,RENT,8,DEBTCONSOLIDATION,D,30000.00,14.54,"1",0.47,Y,3,Valid,Valid,High,Default
25,75000.00,RENT,4,HOMEIMPROVEMENT,D,30000.00,16.89,"1",0.40,Y,4,Valid,Valid,High,Default
23,71500.00,RENT,3,DEBTCONSOLIDATION,D,30000.00,11.01,"1",0.42,N,4,Valid,Valid,High,Default
26,62050.00,RENT,6,MEDICAL,E,30000.00,17.99,"1",0.41,N,2,Valid,Valid,High,Default
24,12000.00,OWN,4,VENTURE,B,2500.00,12.69,"1",0.21,N,3,Valid,Valid,Medium,Default
26,300000.00,MORTGAGE,10,VENTURE,A,20000.00,7.88,"0",0.07,N,4,Valid,Valid,High,Non-Default
23,300000.00,OWN,1,EDUCATION,F,24250.00,19.41,"0",0.08,Y,2,Valid,Valid,High,Non-Default
26,300000.00,OWN,9,HOMEIMPROVEMENT,B,10000.00,10.38,"0",0.03,N,4,Valid,Valid,High,Non-Default
26,300000.00,MORTGAGE,6,EDUCATION,D,25000.00,15.33,"0",0.08,N,3,Valid,Valid,High,Non-Default
25,300000.00,MORTGAGE,9,HOMEIMPROVEMENT,E,18000.00,16.45,"0",0.06,N,3,Valid,Valid,High,Non-Default
26,80690.00,RENT,8,PERSONAL,A,30000.00,7.49,"1",0.37,N,3,Valid,Valid,High,Default
22,66300.00,RENT,4,MEDICAL,B,30000.00,12.69,"1",0.38,N,3,Valid,Valid,High,Default
26,89028.00,RENT,6,DEBTCONSOLIDATION,A,30000.00,6.62,"1",0.34,N,3,Valid,Valid,High,Default
24,78000.00,RENT,4,DEBTCONSOLIDATION,D,30000.00,11.01,"1",0.38,Y,4,Valid,Valid,High,Default
23,78000.00,RENT,7,DEBTCONSOLIDATION,F,30000.00,18.62,"1",0.38,Y,3,Valid,Valid,High,Default
23,92004.00,RENT,6,PERSONAL,C,30000.00,15.23,"1",0.33,Y,3,Valid,Valid,High,Default
23,97000.00,RENT,7,VENTURE,B,30000.00,10.65,"1",0.31,N,2,Valid,Valid,High,Default
25,120000.00,RENT,9,EDUCATION,A,30000.00,7.90,"0",0.25,N,4,Valid,Valid,High,Non-Default
26,280000.00,RENT,4,PERSONAL,C,10000.00,15.96,"0",0.04,Y,3,Valid,Valid,High,Non-Default
26,277104.00,RENT,6,VENTURE,B,20000.00,11.48,"0",0.07,N,3,Valid,Valid,High,Non-Default
23,277000.00,OWN,3,PERSONAL,A,35000.00,11.01,"0",0.13,N,4,Valid,Valid,High,Non-Default
25,128000.00,RENT,9,PERSONAL,A,30000.00,7.29,"0",0.23,N,4,Valid,Valid,High,Non-Default
24,12000.00,OWN,2,VENTURE,E,1750.00,11.01,"0",0.15,Y,3,Valid,Valid,Medium,Non-Default
21,131000.00,RENT,6,VENTURE,A,30000.00,5.99,"0",0.23,N,4,Valid,Valid,High,Non-Default
22,275000.00,OWN,6,VENTURE,B,12000.00,11.58,"0",0.04,N,2,Valid,Valid,High,Non-Default
26,263000.00,MORTGAGE,6,EDUCATION,B,10000.00,11.01,"1",0.04,N,4,Valid,Valid,High,Default
25,221850.00,MORTGAGE,9,MEDICAL,D,25000.00,15.70,"1",0.10,N,2,Valid,Valid,High,Default
22,70000.00,RENT,6,EDUCATION,D,29100.00,15.99,"1",0.42,N,3,Valid,Valid,High,Default
22,12000.00,MORTGAGE,7,EDUCATION,D,1500.00,14.84,"0",0.13,Y,3,Valid,Valid,Medium,Non-Default
26,260000.00,OWN,10,HOMEIMPROVEMENT,B,28000.00,10.99,"0",0.11,N,3,Valid,Valid,High,Non-Default
25,259000.00,MORTGAGE,9,HOMEIMPROVEMENT,D,20000.00,14.42,"0",0.08,Y,2,Valid,Valid,High,Non-Default
24,255000.00,MORTGAGE,9,EDUCATION,A,9600.00,6.99,"0",0.04,N,2,Valid,Valid,High,Non-Default
25,250000.00,RENT,2,MEDICAL,C,25000.00,13.49,"0",0.10,N,4,Valid,Valid,High,Non-Default
25,12000.00,OWN,6,MEDICAL,C,3000.00,11.01,"1",0.25,N,3,Valid,Valid,Medium,Default
22,56950.00,RENT,6,MEDICAL,A,28000.00,11.01,"1",0.49,N,2,Valid,Valid,High,Default
21,12000.00,OWN,6,EDUCATION,C,3000.00,13.61,"1",0.25,Y,3,Valid,Valid,Medium,Default
23,65000.00,RENT,2,EDUCATION,A,28000.00,7.90,"1",0.43,N,2,Valid,Valid,High,Default
26,85000.00,RENT,2,VENTURE,A,28000.00,7.49,"1",0.33,N,3,Valid,Valid,High,Default
26,12000.00,OWN,2,EDUCATION,A,6100.00,7.51,"1",0.51,N,3,Valid,Valid,Medium,Default
22,88000.00,RENT,6,VENTURE,B,28000.00,9.91,"1",0.32,N,3,Valid,Valid,High,Default
21,12000.00,OWN,6,PERSONAL,C,4200.00,13.48,"1",0.35,Y,4,Valid,Valid,Medium,Default
22,12000.00,OWN,6,DEBTCONSOLIDATION,A,4750.00,7.14,"1",0.40,N,2,Valid,Valid,Medium,Default
24,83004.00,RENT,6,VENTURE,D,28000.00,15.99,"1",0.34,Y,4,Valid,Valid,High,Default
24,250000.00,RENT,2,EDUCATION,C,18000.00,12.98,"0",0.07,Y,3,Valid,Valid,High,Non-Default
25,100000.00,RENT,5,DEBTCONSOLIDATION,B,28000.00,12.69,"0",0.28,N,3,Valid,Valid,High,Non-Default
26,110000.00,RENT,10,EDUCATION,A,28000.00,8.90,"0",0.25,N,2,Valid,Valid,High,Non-Default
26,12000.00,OWN,6,DEBTCONSOLIDATION,A,2700.00,11.01,"1",0.23,N,4,Valid,Valid,Medium,Default
22,108000.00,RENT,6,EDUCATION,B,28000.00,11.01,"1",0.26,N,4,Valid,Valid,High,Default
23,151200.00,RENT,7,DEBTCONSOLIDATION,B,28000.00,11.11,"0",0.19,N,2,Valid,Valid,High,Non-Default
24,69000.00,RENT,2,HOMEIMPROVEMENT,A,27600.00,11.01,"1",0.40,N,2,Valid,Valid,High,Default
21,12000.00,MORTGAGE,5,DEBTCONSOLIDATION,E,3250.00,15.68,"1",0.27,Y,3,Valid,Valid,Medium,Default
22,70000.00,RENT,4,EDUCATION,C,27500.00,13.06,"1",0.39,Y,3,Valid,Valid,High,Default
22,240000.00,OWN,6,PERSONAL,B,25000.00,11.01,"0",0.10,N,2,Valid,Valid,High,Non-Default
26,73200.00,RENT,5,VENTURE,D,27050.00,15.62,"1",0.37,Y,2,Valid,Valid,High,Default
24,83000.00,RENT,5,PERSONAL,C,27000.00,13.49,"1",0.33,Y,2,Valid,Valid,High,Default
24,73399.00,RENT,6,VENTURE,D,27000.00,11.01,"1",0.37,N,3,Valid,Valid,High,Default
23,62500.00,RENT,7,MEDICAL,B,26000.00,11.71,"1",0.42,N,2,Valid,Valid,High,Default
23,120000.00,RENT,1,EDUCATION,B,25600.00,12.69,"0",0.21,N,3,Valid,Valid,High,Non-Default
24,12360.00,OWN,2,MEDICAL,C,1600.00,13.57,"0",0.13,N,3,Valid,Valid,Medium,Non-Default
22,60000.00,RENT,6,VENTURE,B,25475.00,10.99,"1",0.42,N,3,Valid,Valid,High,Default
25,234000.00,MORTGAGE,3,MEDICAL,C,20000.00,14.27,"0",0.09,Y,4,Valid,Valid,High,Non-Default
24,234000.00,OWN,8,HOMEIMPROVEMENT,B,20000.00,8.88,"0",0.09,N,4,Valid,Valid,High,Non-Default
26,234000.00,MORTGAGE,10,HOMEIMPROVEMENT,B,21600.00,12.18,"0",0.09,N,3,Valid,Valid,High,Non-Default
25,221004.00,MORTGAGE,6,DEBTCONSOLIDATION,D,11900.00,14.42,"1",0.05,Y,3,Valid,Valid,High,Default
26,232500.00,MORTGAGE,6,MEDICAL,C,25000.00,14.17,"0",0.11,Y,2,Valid,Valid,High,Non-Default
25,230000.00,MORTGAGE,5,MEDICAL,C,35000.00,13.99,"0",0.15,N,4,Valid,Valid,High,Non-Default
23,83000.00,RENT,7,EDUCATION,B,25300.00,10.99,"1",0.30,N,3,Valid,Valid,High,Default
22,12600.00,MORTGAGE,6,PERSONAL,A,2000.00,5.42,"1",0.16,N,4,Valid,Valid,Medium,Default
25,12600.00,OWN,3,PERSONAL,C,1750.00,13.61,"0",0.14,N,3,Valid,Valid,Medium,Non-Default
21,42500.00,RENT,3,EDUCATION,C,25000.00,12.73,"1",0.59,Y,3,Valid,Valid,High,Default
24,41000.00,RENT,2,HOMEIMPROVEMENT,D,25000.00,11.01,"1",0.61,N,3,Valid,Valid,High,Default
25,12816.00,OWN,6,DEBTCONSOLIDATION,C,3000.00,12.87,"1",0.23,Y,4,Valid,Valid,Medium,Default
24,12960.00,MORTGAGE,1,HOMEIMPROVEMENT,B,3650.00,9.91,"1",0.28,N,3,Valid,Valid,Medium,Default
26,226000.00,MORTGAGE,4,HOMEIMPROVEMENT,B,20000.00,11.49,"0",0.09,N,4,Valid,Valid,High,Non-Default
25,225000.00,MORTGAGE,6,HOMEIMPROVEMENT,E,30000.00,19.91,"0",0.13,Y,2,Valid,Valid,High,Non-Default
26,213000.00,MORTGAGE,6,EDUCATION,B,35000.00,10.65,"1",0.16,N,2,Valid,Valid,High,Default
24,225000.00,RENT,6,MEDICAL,B,6000.00,11.01,"0",0.03,N,4,Valid,Valid,High,Non-Default
24,12960.00,MORTGAGE,6,DEBTCONSOLIDATION,B,4500.00,11.83,"1",0.35,N,4,Valid,Valid,Medium,Default
23,12996.00,OWN,6,DEBTCONSOLIDATION,C,2400.00,13.49,"1",0.18,Y,2,Valid,Valid,Medium,Default
22,42000.00,RENT,6,MEDICAL,D,25000.00,14.59,"1",0.60,Y,2,Valid,Valid,High,Default
26,48000.00,RENT,2,EDUCATION,B,25000.00,9.64,"1",0.52,N,4,Valid,Valid,High,Default
25,12996.00,OWN,1,MEDICAL,D,3600.00,14.59,"1",0.28,N,3,Valid,Valid,Medium,Default
22,12996.00,OWN,1,EDUCATION,B,4750.00,11.01,"1",0.37,N,3,Valid,Valid,Medium,Default
25,42360.00,RENT,1,EDUCATION,E,25000.00,16.35,"1",0.59,Y,3,Valid,Valid,High,Default
21,49000.00,RENT,4,EDUCATION,B,25000.00,10.99,"1",0.51,N,2,Valid,Valid,High,Default
25,225000.00,MORTGAGE,6,VENTURE,F,25000.00,18.67,"0",0.11,N,2,Valid,Valid,High,Non-Default
26,225000.00,RENT,1,EDUCATION,A,3000.00,9.32,"0",0.01,N,4,Valid,Valid,High,Non-Default
23,225000.00,RENT,8,DEBTCONSOLIDATION,A,7500.00,8.63,"0",0.03,N,2,Valid,Valid,High,Non-Default
26,225000.00,MORTGAGE,2,VENTURE,B,25000.00,10.08,"0",0.11,N,2,Valid,Valid,High,Non-Default
22,49464.00,RENT,5,PERSONAL,B,25000.00,11.83,"1",0.51,N,3,Valid,Valid,High,Default
23,50000.00,RENT,1,DEBTCONSOLIDATION,A,25000.00,7.90,"1",0.50,N,3,Valid,Valid,High,Default
25,50000.00,RENT,4,HOMEIMPROVEMENT,A,25000.00,5.99,"1",0.50,N,2,Valid,Valid,High,Default
24,44000.00,RENT,2,DEBTCONSOLIDATION,D,25000.00,15.33,"1",0.57,N,2,Valid,Valid,High,Default
23,50000.00,RENT,1,VENTURE,B,25000.00,11.83,"1",0.50,N,4,Valid,Valid,High,Default
22,50004.00,RENT,6,VENTURE,B,25000.00,10.36,"1",0.50,N,2,Valid,Valid,High,Default
22,50004.00,RENT,3,VENTURE,C,25000.00,12.23,"1",0.50,N,3,Valid,Valid,High,Default
22,52000.00,RENT,2,EDUCATION,B,25000.00,11.11,"1",0.48,N,4,Valid,Valid,High,Default
23,13200.00,OWN,3,DEBTCONSOLIDATION,A,4950.00,7.90,"1",0.38,N,4,Valid,Valid,Medium,Default
24,220000.00,MORTGAGE,1,EDUCATION,B,25000.00,11.58,"0",0.11,N,2,Valid,Valid,High,Non-Default
23,216000.00,MORTGAGE,5,DEBTCONSOLIDATION,A,21000.00,8.90,"0",0.10,N,3,Valid,Valid,High,Non-Default
25,216000.00,MORTGAGE,2,EDUCATION,D,25000.00,16.07,"0",0.12,N,3,Valid,Valid,High,Non-Default
26,216000.00,MORTGAGE,10,EDUCATION,C,20000.00,14.22,"0",0.09,Y,2,Valid,Valid,High,Non-Default
23,215000.00,MORTGAGE,7,MEDICAL,C,35000.00,14.79,"0",0.16,Y,3,Valid,Valid,High,Non-Default
26,215000.00,MORTGAGE,11,EDUCATION,A,12000.00,7.88,"0",0.06,N,2,Valid,Valid,High,Non-Default
23,52000.00,RENT,1,PERSONAL,C,25000.00,13.22,"1",0.48,N,2,Valid,Valid,High,Default
26,46000.00,RENT,2,DEBTCONSOLIDATION,D,25000.00,11.86,"1",0.54,N,4,Valid,Valid,High,Default
22,53000.00,RENT,5,EDUCATION,C,25000.00,13.43,"1",0.47,Y,4,Valid,Valid,High,Default
26,47000.00,RENT,6,HOMEIMPROVEMENT,D,25000.00,15.28,"1",0.53,Y,2,Valid,Valid,High,Default
23,47000.00,RENT,1,VENTURE,E,25000.00,17.93,"1",0.53,N,2,Valid,Valid,High,Default
23,13200.00,MORTGAGE,2,EDUCATION,B,1400.00,9.25,"0",0.11,N,4,Valid,Valid,Medium,Non-Default
21,13200.00,OWN,6,VENTURE,C,4500.00,12.98,"1",0.34,N,4,Valid,Valid,Medium,Default
22,210000.00,MORTGAGE,6,VENTURE,B,16000.00,10.62,"0",0.08,N,4,Valid,Valid,High,Non-Default
26,210000.00,OWN,10,PERSONAL,B,22000.00,11.83,"0",0.10,N,4,Valid,Valid,High,Non-Default
26,48000.00,RENT,5,VENTURE,F,25000.00,18.43,"1",0.52,N,2,Valid,Valid,High,Default
22,54996.00,RENT,6,EDUCATION,B,25000.00,11.01,"1",0.45,N,4,Valid,Valid,High,Default
24,55000.00,RENT,4,HOMEIMPROVEMENT,D,25000.00,11.01,"1",0.45,Y,4,Valid,Valid,High,Default
23,55000.00,RENT,4,EDUCATION,B,25000.00,11.36,"1",0.45,N,3,Valid,Valid,High,Default
23,55000.00,RENT,4,EDUCATION,D,25000.00,15.65,"1",0.45,Y,3,Valid,Valid,High,Default
24,55164.00,RENT,8,PERSONAL,C,25000.00,13.22,"1",0.45,Y,4,Valid,Valid,High,Default
26,56000.00,RENT,4,DEBTCONSOLIDATION,C,25000.00,12.87,"1",0.45,N,2,Valid,Valid,High,Default
24,203500.00,OWN,8,MEDICAL,C,20000.00,13.04,"0",0.10,N,3,Valid,Valid,High,Non-Default
23,190000.00,MORTGAGE,5,EDUCATION,F,22000.00,17.58,"1",0.12,Y,3,Valid,Valid,High,Default
23,13920.00,OWN,2,PERSONAL,E,7750.00,17.04,"1",0.56,N,4,Valid,Valid,Medium,Default
24,60000.00,RENT,6,PERSONAL,B,25000.00,10.99,"1",0.42,N,3,Valid,Valid,High,Default
24,60000.00,RENT,2,PERSONAL,B,25000.00,11.11,"1",0.42,N,3,Valid,Valid,High,Default
26,54000.00,RENT,7,DEBTCONSOLIDATION,D,25000.00,14.83,"1",0.46,Y,2,Valid,Valid,High,Default
23,14000.00,OWN,2,DEBTCONSOLIDATION,D,4000.00,11.01,"1",0.29,N,3,Valid,Valid,Medium,Default
24,200000.00,RENT,8,MEDICAL,B,12000.00,12.69,"0",0.06,N,2,Valid,Valid,High,Non-Default
24,200000.00,MORTGAGE,8,HOMEIMPROVEMENT,C,12000.00,13.49,"0",0.06,N,2,Valid,Valid,High,Non-Default
21,200000.00,MORTGAGE,5,EDUCATION,C,16000.00,14.65,"0",0.08,N,4,Valid,Valid,High,Non-Default
25,54000.00,RENT,3,HOMEIMPROVEMENT,E,25000.00,16.82,"1",0.46,N,4,Valid,Valid,High,Default
23,60000.00,RENT,3,PERSONAL,C,25000.00,12.73,"1",0.42,N,3,Valid,Valid,High,Default
23,60000.00,RENT,7,PERSONAL,B,25000.00,10.25,"1",0.42,N,4,Valid,Valid,High,Default
21,60000.00,RENT,6,EDUCATION,B,25000.00,10.99,"1",0.42,N,4,Valid,Valid,High,Default
25,61959.00,RENT,9,MEDICAL,C,25000.00,12.73,"1",0.40,N,2,Valid,Valid,High,Default
22,56400.00,RENT,2,HOMEIMPROVEMENT,D,25000.00,14.96,"1",0.44,Y,3,Valid,Valid,High,Default
23,200000.00,MORTGAGE,7,EDUCATION,A,28000.00,11.01,"0",0.14,N,2,Valid,Valid,High,Non-Default
21,200000.00,MORTGAGE,2,DEBTCONSOLIDATION,C,25000.00,13.99,"0",0.13,N,2,Valid,Valid,High,Non-Default
24,200000.00,MORTGAGE,3,VENTURE,A,24000.00,7.49,"0",0.12,N,4,Valid,Valid,High,Non-Default
26,200000.00,MORTGAGE,4,EDUCATION,C,15000.00,14.79,"0",0.07,N,3,Valid,Valid,High,Non-Default
25,200000.00,MORTGAGE,2,DEBTCONSOLIDATION,B,15500.00,11.99,"0",0.08,N,2,Valid,Valid,High,Non-Default
24,200000.00,RENT,8,EDUCATION,A,10000.00,8.49,"0",0.05,N,4,Valid,Valid,High,Non-Default
24,66000.00,RENT,3,EDUCATION,B,25000.00,9.91,"1",0.38,N,2,Valid,Valid,High,Default
22,66000.00,RENT,6,EDUCATION,C,25000.00,13.06,"1",0.38,Y,3,Valid,Valid,High,Default
22,200000.00,MORTGAGE,6,DEBTCONSOLIDATION,A,9000.00,6.17,"0",0.04,N,4,Valid,Valid,High,Non-Default
25,200000.00,RENT,5,EDUCATION,D,18000.00,16.32,"0",0.09,N,3,Valid,Valid,High,Non-Default
25,200000.00,MORTGAGE,2,VENTURE,B,12000.00,10.38,"0",0.06,N,2,Valid,Valid,High,Non-Default
25,200000.00,MORTGAGE,9,PERSONAL,C,23050.00,14.35,"0",0.12,N,3,Valid,Valid,High,Non-Default
24,200000.00,MORTGAGE,8,DEBTCONSOLIDATION,B,20000.00,11.01,"0",0.10,N,3,Valid,Valid,High,Non-Default
24,60000.00,RENT,2,DEBTCONSOLIDATION,E,25000.00,11.01,"1",0.42,Y,2,Valid,Valid,High,Default
21,14400.00,OWN,6,HOMEIMPROVEMENT,B,3000.00,11.01,"1",0.21,N,4,Valid,Valid,Medium,Default
26,66996.00,RENT,10,PERSONAL,D,25000.00,15.21,"1",0.37,Y,2,Valid,Valid,High,Default
23,67000.00,RENT,3,EDUCATION,A,25000.00,7.90,"1",0.37,N,4,Valid,Valid,High,Default
24,67000.00,RENT,2,VENTURE,B,25000.00,10.99,"1",0.37,N,3,Valid,Valid,High,Default
24,68000.00,RENT,5,PERSONAL,D,25000.00,14.09,"1",0.37,Y,3,Valid,Valid,High,Default
25,69000.00,RENT,9,PERSONAL,D,25000.00,17.49,"1",0.36,N,2,Valid,Valid,High,Default
25,200000.00,MORTGAGE,6,EDUCATION,B,12000.00,11.48,"0",0.06,N,3,Valid,Valid,High,Non-Default
26,188000.00,MORTGAGE,10,VENTURE,E,20000.00,17.74,"1",0.11,N,2,Valid,Valid,High,Default
26,200000.00,MORTGAGE,4,PERSONAL,C,3000.00,13.92,"0",0.01,N,3,Valid,Valid,High,Non-Default
25,69996.00,RENT,9,EDUCATION,D,25000.00,15.21,"1",0.36,N,3,Valid,Valid,High,Default
22,14400.00,OWN,2,MEDICAL,B,4000.00,10.99,"1",0.28,N,3,Valid,Valid,Medium,Default
24,70000.00,RENT,3,EDUCATION,B,25000.00,11.86,"1",0.36,N,4,Valid,Valid,High,Default
24,14400.00,OWN,5,PERSONAL,A,6000.00,7.49,"1",0.42,N,3,Valid,Valid,Medium,Default
24,56100.00,RENT,7,MEDICAL,D,25000.00,16.49,"1",0.38,N,4,Valid,Valid,High,Default
25,66000.00,RENT,9,VENTURE,D,25000.00,15.33,"1",0.38,Y,2,Valid,Valid,High,Default
26,66000.00,RENT,3,HOMEIMPROVEMENT,B,25000.00,11.58,"1",0.38,N,4,Valid,Valid,High,Default
25,14400.00,OWN,7,EDUCATION,A,5375.00,5.79,"1",0.37,N,2,Valid,Valid,Medium,Default
25,72612.00,RENT,9,MEDICAL,C,25000.00,13.11,"1",0.34,N,2,Valid,Valid,High,Default
23,74000.00,RENT,3,MEDICAL,B,25000.00,10.36,"1",0.34,N,3,Valid,Valid,High,Default
25,75000.00,RENT,9,DEBTCONSOLIDATION,B,25000.00,10.36,"1",0.33,N,2,Valid,Valid,High,Default
24,192000.00,RENT,6,MEDICAL,C,22000.00,11.01,"0",0.11,Y,2,Valid,Valid,High,Non-Default
25,191000.00,MORTGAGE,1,MEDICAL,B,10000.00,12.53,"0",0.05,N,4,Valid,Valid,High,Non-Default
26,190300.00,MORTGAGE,5,PERSONAL,A,15000.00,11.01,"0",0.08,N,3,Valid,Valid,High,Non-Default
22,190000.00,MORTGAGE,3,VENTURE,C,10000.00,11.01,"0",0.05,N,3,Valid,Valid,High,Non-Default
24,75000.00,RENT,4,EDUCATION,B,25000.00,10.25,"1",0.33,N,4,Valid,Valid,High,Default
22,71000.00,RENT,1,EDUCATION,D,25000.00,15.95,"1",0.35,Y,4,Valid,Valid,High,Default
26,190000.00,MORTGAGE,3,VENTURE,B,20000.00,12.18,"0",0.11,N,4,Valid,Valid,High,Non-Default
23,189996.00,OWN,6,PERSONAL,B,24000.00,11.83,"0",0.13,N,3,Valid,Valid,High,Non-Default
23,78000.00,RENT,7,DEBTCONSOLIDATION,C,25000.00,11.01,"1",0.32,Y,2,Valid,Valid,High,Default
23,78000.00,RENT,1,VENTURE,B,25000.00,10.62,"1",0.32,N,3,Valid,Valid,High,Default
23,78504.00,RENT,7,VENTURE,B,25000.00,10.74,"1",0.32,N,3,Valid,Valid,High,Default
25,186000.00,OWN,9,VENTURE,B,10000.00,10.25,"0",0.05,N,4,Valid,Valid,High,Non-Default
24,185000.00,MORTGAGE,6,EDUCATION,B,35000.00,12.42,"0",0.19,N,2,Valid,Valid,High,Non-Default
25,185000.00,RENT,6,VENTURE,C,15000.00,15.27,"0",0.08,N,2,Valid,Valid,High,Non-Default
24,62050.00,RENT,8,MEDICAL,D,25000.00,15.33,"1",0.34,Y,2,Valid,Valid,High,Default
23,79416.00,RENT,7,VENTURE,D,25000.00,15.21,"1",0.31,Y,2,Valid,Valid,High,Default
21,14400.00,OWN,4,VENTURE,C,6250.00,14.72,"1",0.43,N,2,Valid,Valid,Medium,Default
24,79631.00,RENT,8,PERSONAL,D,25000.00,15.70,"1",0.31,Y,2,Valid,Valid,High,Default
24,79632.00,RENT,6,EDUCATION,C,25000.00,13.35,"1",0.31,N,4,Valid,Valid,High,Default
21,14400.00,MORTGAGE,6,MEDICAL,C,1500.00,11.01,"0",0.10,N,4,Valid,Valid,Medium,Non-Default
24,80000.00,RENT,6,EDUCATION,A,25000.00,6.62,"1",0.31,N,2,Valid,Valid,High,Default
26,80000.00,RENT,5,DEBTCONSOLIDATION,C,25000.00,13.61,"1",0.31,N,4,Valid,Valid,High,Default
22,185000.00,RENT,4,MEDICAL,B,25000.00,11.36,"0",0.14,N,2,Valid,Valid,High,Non-Default
26,185000.00,OWN,10,PERSONAL,A,5000.00,7.68,"0",0.03,N,2,Valid,Valid,High,Non-Default
24,184992.00,RENT,7,HOMEIMPROVEMENT,D,22000.00,14.46,"0",0.12,Y,4,Valid,Valid,High,Non-Default
23,184000.00,OWN,5,EDUCATION,B,2500.00,11.83,"0",0.01,N,2,Valid,Valid,High,Non-Default
